id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
tm435916,The Perfection,MOVIE,2018,,90,thriller; drama; horror; music,US,,tt7772580,6.1,41508
ts79546,MEGALOBOX,SHOW,2018,TV-MA,24,action; animation; drama; scifi; sport,JP,2,tt7965802,7.8,3144
tm362098,The Kindergarten Teacher,MOVIE,2018,R,96,drama; thriller; european,US,,tt6952960,6.7,15683
tm433381,Mirage,MOVIE,2018,R,129,thriller; drama; documentation; fantasy; music; romance; european,ES,,tt7919356,7.4,52657
tm412550,Set It Up,MOVIE,2018,PG-13,105,comedy; romance,US,,tt5304992,6.5,49880
tm315424,An Evening with Beverly Luff Linn,MOVIE,2018,R,108,crime; comedy,GB; US,,tt6520524,5.8,5457
ts84533,Transformers: Cyberverse,SHOW,2018,TV-Y7,11,action; animation; scifi,US,3,tt8891990,6.5,350
tm499724,The Delivery Boy,MOVIE,2018,,66,thriller; drama,NG,,tt8541826,6.2,74
ts83455,Wanderlust,SHOW,2018,TV-MA,57,drama,,1,tt7608238,7,5225
tm414220,Little Italy,MOVIE,2018,R,102,romance; comedy,US; CA,,tt6957966,5.7,14492
ts77518,Teasing Master Takagi-san,SHOW,2018,TV-PG,24,comedy; animation; romance,JP,3,tt7808344,7.7,2030
ts79234,The Boss Baby: Back in Business,SHOW,2018,TV-G,23,action; comedy; animation; family; fantasy,US,4,tt7741824,6.4,3595
tm139545,The Outsider,MOVIE,2018,R,120,crime; thriller; action; drama,US,,tt2011311,6.2,25223
ts77824,My Next Guest Needs No Introduction With David Letterman,SHOW,2018,TV-MA,55,,US,4,tt7829834,7.9,5194
tm420274,Hannah Gadsby: Nanette,MOVIE,2018,,69,comedy; documentation,AU,,tt8465676,8.1,12035
tm434008,Banana Split,MOVIE,2018,R,88,comedy,US,,tt7755856,6.2,3190
ts80720,Scissor Seven,SHOW,2018,TV-PG,15,action; animation; comedy; drama; fantasy; romance,CN,3,tt11503082,8.5,297
tm417496,Dumplin,MOVIE,2018,PG-13,110,comedy; drama,US,,tt4878482,6.5,33206
tm367065,Shirkers,MOVIE,2018,,96,documentation,GB; US; SG,,tt7472352,7.4,5020
tm426274,The After Party,MOVIE,2018,,89,comedy; horror; music,US,,tt3960240,5.7,4348
tm433228,Red Joan,MOVIE,2018,R,101,thriller; drama; history; romance,GB,,tt7615302,6.4,12124
tm244325,Mute,MOVIE,2018,R,126,thriller; drama; scifi,GB; DE,,tt1464763,5.4,34788
tm316414,Hell Fest,MOVIE,2018,R,89,horror; thriller,US,,tt1999890,5.5,16610
tm311921,Small Town Crime,MOVIE,2018,R,91,thriller; crime,US,,tt5751998,6.6,11167
tm370212,Adrift,MOVIE,2018,PG-13,96,thriller; drama; romance; action; european,HK; IS; US,,tt6306064,6.6,54750
ts58152,Cathedral of the Sea,SHOW,2018,TV-MA,57,drama; history,ES,1,tt4944694,7.4,4292
ts84779,Haunted,SHOW,2018,TV-MA,25,documentation; horror; reality,US,3,tt9077192,4.6,3150
tm410742,Happy as Lazzaro,MOVIE,2018,PG-13,125,fantasy; drama; european,IT; CH; FR,,tt6752992,7.5,17716
tm323634,A-X-L,MOVIE,2018,PG-13,98,scifi; family; thriller; action; drama,US,,tt5709188,5.3,11785
tm139885,The Other Side of the Wind,MOVIE,2018,R,122,drama; european,US; FR; IR,,tt0069049,6.7,7104
ts84574,Salt Fat Acid Heat,SHOW,2018,,40,documentation,US,1,tt8772088,7.7,2419
ts82560,Dark Tourist,SHOW,2018,TV-MA,41,action; documentation,NZ,1,tt8725166,7.5,7158
ts88783,Bakugan: Battle Planet,SHOW,2018,TV-Y7,20,scifi; animation; action; comedy; family; fantasy,JP,4,tt9527662,5.1,220
tm414962,May the Devil Take You,MOVIE,2018,R,110,thriller; horror,ID,,tt8765496,5.9,4209
ts85138,Dogs,SHOW,2018,TV-PG,50,documentation,US,2,tt0262158,8,1269
ts82281,Zoids Wild,SHOW,2018,TV-Y7,21,scifi; action; comedy; animation,JP,1,tt12317724,6,25
ts77474,Mr. Sunshine,SHOW,2018,TV-MA,76,drama; action; history; romance; war,KR,1,tt7094780,8.7,6855
tm412623,The Kissing Booth,MOVIE,2018,,105,romance; comedy,GB,,tt3799232,5.9,81639
ts78298,My Mister,SHOW,2018,TV-14,79,drama; family,KR,1,tt7923710,9.2,5481
ts83251,Magic for Humans,SHOW,2018,TV-14,24,comedy; reality,US,3,tt8425308,7.1,3316
ts84335,1983,SHOW,2018,TV-MA,57,drama; crime; thriller,PL,1,tt7371666,6.8,4173
tm351101,Errementari: The Blacksmith and the Devil,MOVIE,2018,,98,drama; fantasy; horror; thriller; european,ES; FR,,tt5592878,6.4,11561
tm321224,Game Over; Man!,MOVIE,2018,R,100,comedy; action,US,,tt3317234,5.4,29773
tm306301,Piercing,MOVIE,2018,R,82,thriller; horror,FR; US,,tt6516314,5.5,7534
ts83763,Black Earth Rising,SHOW,2018,TV-MA,59,crime; thriller,GB,1,tt7660730,7.4,4790
tm244148,Mowgli: Legend of the Jungle,MOVIE,2018,PG-13,105,drama; fantasy,GB; US,,tt2388771,6.5,60870
tm436470,No Escape Room,MOVIE,2018,,85,thriller; horror,US,,tt9099102,5,4277
ts82892,I Am a Killer,SHOW,2018,TV-MA,46,crime; documentation,GB,2,tt8300324,7.4,3937
ts79422,Nailed It!,SHOW,2018,TV-PG,33,reality; comedy,US,6,tt6987788,7.4,4682
ts80523,Aggretsuko,SHOW,2018,TV-14,16,animation; music; romance; comedy; drama,JP,4,tt8019444,8,6005
ts83561,Immortals,SHOW,2018,TV-MA,28,scifi; action; drama; fantasy; thriller; music,TR,1,tt8063174,5.4,3087
tm375912,Ricky Gervais: Humanity,MOVIE,2018,R,79,comedy,GB,,tt7830574,7.9,18523
ts78382,On My Block,SHOW,2018,TV-14,29,comedy; drama,US,4,tt7879820,7.9,15642
ts86296,Sunderland Til I Die,SHOW,2018,TV-MA,41,documentation; sport,GB,2,tt8914684,8.1,7943
tm414709,Siberia,MOVIE,2018,R,105,thriller; european; crime; romance,DE; CA; US,,tt6494688,4.3,15038
ts78507,Alexa & Katie,SHOW,2018,TV-Y7,25,comedy; drama,US,4,tt6916746,7.4,4687
tm328443,Illang: The Wolf Brigade,MOVIE,2018,R,140,thriller; drama; action; scifi,KR,,tt3967878,5.9,5073
ts89538,Bitter Daisies,SHOW,2018,,71,drama; thriller,ES,2,tt9412454,7.2,3274
tm370436,The Breaker Upperers,MOVIE,2018,,82,comedy,NZ,,tt6728096,5.9,6008
ts57464,Life Sentence,SHOW,2018,TV-14,42,drama; comedy,US,1,tt6088922,6.4,3855
ts228255,Cry Babies Magic Tears,SHOW,2018,TV-Y,12,animation; family,FR,2,tt11067738,4.8,36
ts84243,Baby,SHOW,2018,TV-MA,45,drama,IT,3,tt7645192,6.8,10990
ts78231,Unsolved: The Murders of Tupac and The Notorious B.I.G.,SHOW,2018,TV-MA,45,crime,US,1,tt6233618,7.8,7651
tm370232,We the Animals,MOVIE,2018,R,94,drama,US,,tt7681824,6.9,4181
tm439484,Welcome Home,MOVIE,2018,R,97,thriller; horror; drama,US,,tt6829180,5.2,7387
tm271960,Midnight Sun,MOVIE,2018,PG-13,91,drama; romance; european,US,,tt4799078,6.6,29565
tm352588,Tau,MOVIE,2018,R,97,thriller; scifi,US,,tt4357394,5.8,30611
ts81885,The Good Cop,SHOW,2018,TV-PG,49,comedy; drama; crime; documentation,US,1,tt7183074,6.9,5620
tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,MOVIE,2018,,94,documentation; music,US,,tt6216786,7.9,1285
tm406881,Bathtubs Over Broadway,MOVIE,2018,PG-13,87,comedy; music; documentation,US,,tt6029778,7.6,1065
ts77783,Record of Grancrest War,SHOW,2018,TV-14,24,scifi; action; fantasy; war; animation,JP,1,tt7897050,7.1,893
ts79020,Hitlers Circle of Evil,SHOW,2018,TV-14,52,documentation; war; history,GB,1,tt6600720,8,4241
ts77799,Rotten,SHOW,2018,TV-MA,56,documentation,US,2,tt7763662,7.2,3675
tm368241,Duck Butter,MOVIE,2018,,94,drama; comedy; romance,US,,tt6958014,5.3,3909
tm321596,The Long Dumb Road,MOVIE,2018,R,90,comedy,US,,tt4712076,6.1,3172
ts86945,Abby Hatcher,SHOW,2018,TV-Y,20,fantasy; animation; comedy; family,US,3,tt9433014,6.1,163
ts84056,Unauthorized Living,SHOW,2018,TV-MA,76,drama,ES,2,tt6970700,7.4,4555
ts89069,LEGO Friends: Girls on a Mission,SHOW,2018,TV-Y,11,animation,DK; US,4,tt9327146,7.7,106
ts86814,Murder Mountain,SHOW,2018,TV-MA,49,crime; documentation,US,1,tt9078908,6.8,3045
ts85968,Nicky Jam: El Ganador,SHOW,2018,,44,drama; music,PR,1,tt7949200,7.7,1129
ts85837,SKY Castle,SHOW,2018,TV-MA,68,drama,KR,1,tt9151274,8.6,2835
tm411507,John Mulaney: Kid Gorgeous at Radio City,MOVIE,2018,R,65,comedy,US,,tt8271714,7.9,7696
ts83745,Norm Macdonald Has a Show,SHOW,2018,,35,comedy,US,1,tt8139862,8.6,3473
tm423373,Andhadhun,MOVIE,2018,R,139,thriller; music; drama; comedy; crime,IN,,tt8303792,8.2,88359
ts82372,The Epic Tales of Captain Underpants,SHOW,2018,TV-Y7,24,animation; comedy; family; action,US,4,tt7741830,6.7,879
ts79045,Ugly Delicious,SHOW,2018,TV-MA,51,documentation,US,2,tt7907916,7.8,3505
ts81757,The House of Flowers,SHOW,2018,TV-MA,31,drama; comedy,MX,3,tt8387348,7.6,7722
tm409766,In Darkness,MOVIE,2018,,110,thriller,GB; US,,tt5164184,5.7,13098
tm406111,The Debt Collector,MOVIE,2018,,96,action; comedy,GB; US,,tt7448180,5.8,7344
ts80411,Lawless Lawyer,SHOW,2018,TV-14,64,action; crime; drama; thriller,KR,1,tt8160178,7.7,1572
tm431347,Reversing Roe,MOVIE,2018,,99,documentation,US,,tt8948614,7.5,1281
tm368040,The Titan,MOVIE,2018,R,97,thriller; fantasy; scifi; drama; romance,US; GB; ES,,tt6973848,4.8,30698
ts78217,Welcome to the Family,SHOW,2018,TV-MA,48,comedy,ES,2,tt7490342,6.6,442
ts78299,Llama Llama,SHOW,2018,TV-Y,15,animation; family,US,2,tt4781350,6.5,270
tm324870,Dude,MOVIE,2018,,90,comedy; drama,US,,tt6151516,5.2,6873
tm411958,Ibiza,MOVIE,2018,,94,comedy; romance,US,,tt3685236,5.2,17194
tm425138,Godzilla: The Planet Eater,MOVIE,2018,PG,90,animation; action; scifi; horror,JP,,tt8478602,5,4158
ts81414,Meteor Garden,SHOW,2018,TV-14,45,comedy; family; drama; romance,CN,1,tt8690890,7.9,3921
ts77014,Wolf,SHOW,2018,TV-MA,80,war; drama; action; thriller,TR,1,tt7146600,8.1,7426
tm429163,The Photographer of Mauthausen,MOVIE,2018,R,111,thriller; drama; war; history; european,ES,,tt6704776,6.7,10466
ts81542,The Hollow,SHOW,2018,TV-Y7,24,comedy; scifi; animation; drama; family,CA,2,tt6193336,7.1,4198
ts83232,The Mire,SHOW,2018,TV-MA,51,crime; drama; thriller,PL,2,tt8855592,7,4312
ts82268,GHOUL,SHOW,2018,TV-MA,46,scifi; drama; fantasy; horror,IN,2,tt5909930,8,6
ts87043,Transformers: Rescue Bots Academy,SHOW,2018,TV-Y,12,scifi; animation; action; comedy; family,,2,tt9557874,6,100
tm359103,Rivers Edge,MOVIE,2018,,118,drama; crime,JP,,tt7476946,6.2,942
ts86164,Hero Mask,SHOW,2018,TV-14,24,scifi; animation; action; crime,JP,2,tt9316078,6.1,657
ts9075,The Fix,SHOW,2018,TV-MA,29,comedy,US,1,tt5960546,7,1895
ts83790,The Beauty Inside,SHOW,2018,TV-14,68,drama; fantasy; romance,KR,1,tt8801708,7.6,1889
tm407827,Girl,MOVIE,2018,R,105,drama; european,NL; BE,,tt8254556,7.1,14046
ts85686,The Casketeers,SHOW,2018,TV-14,22,reality; documentation,NZ,5,tt8365054,7.5,450
ts83360,The Guest,SHOW,2018,TV-MA,66,crime; thriller; drama; horror; comedy,KR,1,tt8801670,8.1,1537
tm266652,Bleach,MOVIE,2018,PG-13,108,fantasy; action,JP,,tt5986074,6.4,11406
ts95569,Rainbow Rangers,SHOW,2018,TV-Y,22,family; fantasy; animation,US,2,tt7967882,5.8,187
tm317110,Psychokinesis,MOVIE,2018,,101,fantasy; action; comedy,KR,,tt4838572,5.9,5519
ts78590,The Mechanism,SHOW,2018,TV-MA,47,drama; thriller; crime,BR,2,tt6873658,8,36077
ts77520,Mob Psycho 100,SHOW,2018,,24,action; scifi; thriller,JP,1,tt7701694,5.2,509
ts85170,Memories of the Alhambra,SHOW,2018,TV-MA,68,action; scifi; thriller; drama; romance,KR,1,tt8236556,7.8,5363
ts90594,Barbie: Dreamhouse Adventures,SHOW,2018,TV-Y,22,comedy; family; animation,US,5,tt7661472,6.7,525
ts83502,Ad Vitam,SHOW,2018,TV-MA,52,scifi; crime; drama,FR,1,tt8548830,6.4,1625
tm344886,The Angel,MOVIE,2018,,114,thriller; action; drama,IL; MA; US; BG; GB,,tt5968274,6.6,14013
ts85034,Patriot Act with Hasan Minhaj,SHOW,2018,TV-MA,25,comedy,US,6,tt8080054,8.2,7222
tm365122,Benji,MOVIE,2018,PG,87,crime; drama; family,US; AE,,tt1799516,6.3,4544
ts83537,Signs,SHOW,2018,TV-MA,46,thriller; crime; european,PL,2,tt8917248,6.4,1608
tm320670,White Fang,MOVIE,2018,PG,87,animation; drama; western; european,FR; LU; US,,tt7016508,6.9,3634
ts79157,B: The Beginning,SHOW,2018,TV-MA,25,scifi; action; drama; thriller; horror; animation; fantasy; crime,JP,2,tt7944664,7.1,4803
ts81918,Sugar Rush,SHOW,2018,TV-PG,51,reality,US,3,tt8680560,7,1508
tm367250,The Resistance Banker,MOVIE,2018,R,124,drama; war; european,NL,,tt4610378,6.9,9273
ts80959,Sacred Games,SHOW,2018,TV-MA,50,action; thriller; crime; drama,IN,2,tt10810630,8.6,85088
ts131579,Thieves of the Wood,SHOW,2018,TV-MA,47,drama; history; action; thriller; comedy; documentation,BE,1,tt5766086,6.8,2533
tm425732,The Land of Steady Habits,MOVIE,2018,,98,drama; comedy,US,,tt6485928,6.2,7566
ts85175,Girl from Nowhere,SHOW,2018,TV-MA,44,drama; fantasy; horror; thriller; crime,TH,2,tt8824648,7.6,3979
ts83071,Afflicted,SHOW,2018,TV-MA,42,reality; documentation,BR,1,tt8792570,5.1,1119
ts83540,Paradise PD,SHOW,2018,TV-MA,27,comedy; crime; animation; action,US,3,tt8235236,6.8,17779
tm416105,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,MOVIE,2018,,74,comedy; music; documentation,US,,tt8075256,7.1,2556
ts78206,Welcome to Waikiki,SHOW,2018,TV-MA,64,drama; comedy; reality,KR,3,tt7890304,8.3,2038
ts84135,The Inmate,SHOW,2018,TV-MA,53,crime; thriller; drama,MX,1,tt8452308,6.9,2641
ts79026,The Innocents,SHOW,2018,TV-MA,46,drama; scifi; horror; romance; thriller,GB,2,tt8021824,6.2,5784
ts87194,Instant Hotel,SHOW,2018,TV-MA,49,reality,AU,2,tt9316032,7.3,1482
ts84930,The Hook Up Plan,SHOW,2018,TV-14,28,comedy; romance,FR,3,tt9170638,7.2,5212
ts78246,Kiss Me First,SHOW,2018,TV-MA,47,scifi; thriller; drama,GB,1,tt5730690,6.2,3874
ts81526,November 13: Attack on Paris,SHOW,2018,TV-MA,54,documentation,FR,1,tt8194716,8.3,3105
ts81583,Life,SHOW,2018,,64,drama; thriller,KR,1,tt8243158,7.6,688
tm420656,Reprisal,MOVIE,2018,R,89,action; thriller; crime; drama,GB; US,,tt6547170,4.2,7248
tm420334,Like Father,MOVIE,2018,R,103,comedy; drama,US,,tt7170950,6.1,21202
tm368538,MILF,MOVIE,2018,,96,comedy; european,FR,,tt7205316,4.8,6047
tm357820,The Open House,MOVIE,2018,,94,horror; thriller,US,,tt7608028,3.2,33769
ts56933,The New Legends of Monkey,SHOW,2018,TV-PG,25,scifi; action; comedy; fantasy,NZ,2,tt6807662,6.4,4308
ts84645,Medal of Honor,SHOW,2018,TV-MA,55,documentation; war,US,1,tt7440274,8.2,1687
tm419733,My Teacher; My Obsession,MOVIE,2018,,105,thriller; drama,US,,tt6997574,4.4,2289
tm324820,MFKZ,MOVIE,2018,R,95,crime; scifi; thriller; animation; action; comedy; european,JP; FR,,tt4717402,6.7,4263
ts79997,Something in the Rain,SHOW,2018,TV-MA,70,drama; romance,KR,1,tt8078816,8.2,5654
tm365824,Zero,MOVIE,2018,,152,comedy; drama; scifi; romance; thriller; fantasy; european,IN,,tt6527426,5.2,27208
tm436844,The Christmas Chronicles,MOVIE,2018,PG,104,fantasy; family; comedy,US,,tt2990140,7,71182
tm359150,Nothing to Hide,MOVIE,2018,,93,drama; comedy; european,BE; FR; IT,,tt7489816,6.8,14876
tm351931,Patrick,MOVIE,2018,PG,94,comedy; drama; family; romance,GB,,tt6542108,6.2,150
ts309731,Gormiti,SHOW,2018,TV-Y,11,comedy; action; animation; fantasy; thriller,ES; IT,4,tt9077350,5.3,111
ts85822,Selection Day,SHOW,2018,TV-14,25,drama; comedy; sport,IN,1,tt10656928,7.4,2176
ts80617,The Protector,SHOW,2018,TV-MA,43,action; scifi; fantasy; drama,TR,4,tt7668518,6.5,34396
tm372318,The World Is Yours,MOVIE,2018,R,94,crime; comedy; european,FR,,tt6892462,6.3,4246
